,всего предприятий и организаций,"сельское, лесное хозяйство, охота, рыболовство и рыбоводство",добыча полезных ископаемых,обрабатывающие производства,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",строительство,торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,транспортировка и хранение,деятельность гостиниц и предприятий общественного питания,деятельность в области информации и связи,деятельность финансовая и страховая,деятельность по операциям с недвижимым имуществом,"деятельность профессиональная, научная и техническая",деятельность административная и сопутствующие дополнительные услуги,государственное управление и обеспечение военной безопасности; социальное обеспечение,образование,деятельность в области здравоохранения и социальных услуг,"деятельность в области культуры, спорта, организации досуга и развлечений",предоставление прочих видов услуг
Пермский край,52960,1288,252,4134,398,449,6190,12432,3426,1188,1543,785,6802,4211,1896,1125,1550,1269,1212,2802
Кировская область,27452,1240,78,2719,315,222,2329,6174,2434,673,477,389,2867,1467,789,1305,1369,472,773,1359
Нижегородская область,73419,1536,123,6806,520,482,8031,20743,4143,1587,1803,919,6845,5919,3006,1452,2864,2010,1321,3306
Оренбургская область,29069,2152,340,1822,271,340,2979,5810,2077,469,605,361,2259,1937,967,1185,2086,859,632,1917
Пензенская область,21649,717,58,2091,142,323,2005,4615,1287,397,530,284,2057,1364,564,1077,1382,581,603,1571
Самарская область,84942,1516,303,6722,398,529,11172,24640,6458,1791,2006,1106,7610,6139,3641,1528,2360,1746,1561,3712
Саратовская область,40112,1314,235,2960,354,401,3524,8439,2846,826,881,636,5691,2981,1179,1509,2339,902,972,2121
Ульяновская область,22591,616,70,2257,191,229,2283,5016,1539,476,632,224,2174,1579,723,810,1059,580,480,1651
Курганская область,11781,611,34,864,157,102,1039,2169,550,193,265,142,1358,635,321,827,848,613,343,710
Свердловская область,116235,2053,521,9980,656,769,12976,34137,7377,2460,3146,1510,11282,9570,4592,1909,3962,2367,2448,4507
Тюменская область,37004,859,277,2698,193,191,5856,8757,2199,1046,1019,427,3002,3723,1416,733,1181,944,736,1744
Челябинская область,72961,1149,397,7483,529,539,8263,21930,4546,1305,1677,992,5270,5326,2617,1562,3152,1800,1555,2865
Республика Алтай,4651,359,45,300,56,36,390,699,167,185,93,87,332,277,244,324,295,138,137,487
Республика Тыва,3527,258,16,105,26,26,273,349,113,65,100,68,166,164,108,462,429,175,242,381
Республика Хакасия,7809,260,145,584,91,79,777,1510,304,164,237,192,544,533,249,411,569,218,289,651
Алтайский край,42104,1679,110,4075,358,349,4128,12003,3148,754,809,547,3282,2395,1251,1740,1644,828,648,2355
Красноярский край,60321,1952,574,4239,448,340,6924,15414,4057,1169,1570,669,5310,4767,2265,1738,2649,1971,1424,2838
Иркутская область,51484,3270,493,3119,377,331,5245,11971,3656,1193,1221,882,4082,3809,1795,1818,2741,1242,1501,2720
Кемеровская область,35817,798,428,2788,333,316,3295,8338,2270,834,837,634,3332,2930,1509,936,2248,1174,978,1835
Новосибирская область,91978,1509,164,7579,548,442,10202,27936,6441,1785,2545,1377,9529,7572,3567,1229,2480,1857,1656,3551
Омская область,35913,781,34,2582,232,247,4818,8929,2453,562,867,410,3350,2881,1239,1048,1792,938,605,2143
Томская область,24604,639,139,2043,193,169,2535,5771,1874,541,840,289,2492,2247,775,603,883,709,517,1341
Республика Бурятия,19682,792,409,970,223,98,1869,3204,798,521,392,271,1190,3857,592,1084,1246,473,400,1291
Республика Саха (Якутия),22319,1461,793,956,254,164,3081,2624,1497,425,563,453,1859,1543,599,1329,1525,611,923,1655
Забайкальский край,13057,716,531,578,161,81,1276,2287,817,300,257,226,860,708,397,1058,1312,340,384,766
Камчатский край,9185,883,55,453,78,81,924,1530,708,274,202,147,977,551,498,423,356,218,303,524
Приморский край,50845,1903,240,2635,151,318,4854,14408,6523,1344,938,580,4398,3681,1645,923,1689,1154,1239,2213
Хабаровский край,32719,1405,429,1769,265,214,3835,8423,2998,909,663,389,2566,2252,1253,921,1216,847,807,1551
Амурская область,13922,565,749,630,231,153,1503,3311,682,297,271,197,855,892,508,856,668,386,377,790
Магаданская область,3778,230,500,129,46,23,281,605,356,80,84,66,183,248,88,203,171,90,110,284
Сахалинская область,13441,1285,143,722,96,89,1670,2721,1004,387,237,141,997,809,552,497,509,307,409,861
Еврейская автономная область,2365,164,34,136,46,32,167,415,98,48,56,33,178,121,59,176,171,96,108,227
